USER_ID,FLOW,FLOW_LAST_ONE,FLOW_LAST_TWO,MONTH_FEE,MONTHS_3AVG,BINDEXP_DATE,PHONE_CHANGE,AGE,OPEN_DATE,REMOVE_TAG
88222,1402127057,986659636,497998168,152.14,125.51,19000101,0,24,20140718,A
85130,167351777,110478502,28574485,61.38,56.41,20160501,0,23,20110707,A
85172,2317717434,1078067752,936274672,71.55,170.77,19000101,0,23,20120914,A
85182,681686559,504553848,340778466,147.9,184.16,20150801,0,45,20130822,A
85217,24351,201159,20850939,184.34,174.48,20160501,0,39,20080804,A
85240,54726173,64682992,74619955,128.67,130.88,19000101,0,48,20001017,A
268906,223048765,760350588,801743527,78.54,75.13,19000101,0,20,20120909,B
271158,94840748,106308196,167120322,77.29,99.06,19000101,0,22,20141201,B
274028,4258756355,3582431461,1780093975,221.87,335.99,20160201,0,29,20110111,B
169483,2355438865,3332947632,395539162,112.36,157.8,19000101,0,22,20120911,B
656722,1617410695,1639200391,1473732443,141.85,150.65,19000101,0,41,20110728,C
659374,987444508,967958312,574569288,405.1,274.8,19000101,0,17,20141011,C
665559,2575516090,2578994986,2560780455,144,117.59,19000101,0,26,20140512,C
564215,189991100,222910658,51073703,191.11,170.14,20170501,0,24,20120409,D
574778,107577495,2622827,2845212,164,247.25,20150601,0,29,20060108,D
598161,1458749418,871624977,463555841,123.1,136.36,20161101,0,40,20120909,D
603636,25309354,69560182,103614922,118.5,122.38,20171101,0,33,20050101,D
646793,141314349,180621867,67506022,141.8,138.87,20151101,0,51,20121112,D
805027,401406101,500144457,457782273,60.57,73.03,19000101,0,44,20061030,G
802919,427945281,966607366,606010034,135.2,150.02,19000101,0,49,20101223,G
144212,167821537,315486593,363223792,91,105.16,19000101,0,31,20091212,H
526335,643394713,694085317,616220752,203.54,226.65,20150801,1,32,20081128,I
605256,0,0,0,182,205.6,20171101,0,41,20040525,J
612509,0,0,0,0,88.76,19000101,0,18,20131010,J
617563,0,0,0,39.2,107.34,19000101,0,22,20120909,J
690696,625037819,608167143,839537447,371.06,275.9,20160701,0,28,20120909,K
799748,745932344,485714678,1288837394,150.09,139.5,20151101,1,26,20090511,K
851446,256178591,5257057,5733746,426.76,378.22,19000101,0,28,20080907,K
855573,2005468,514753,26400,173.23,183.51,19000101,0,29,20090216,K
722461,402203409,402096143,763028002,188,188,20160201,0,26,20120701,K
762469,119671588,182466627,203178342,183.62,181.7,19000101,0,25,20111227,K
824365,561767262,1745835378,1121296914,120.31,132.09,19000101,0,27,20100108,K
801043,711005475,681859453,528926562,209.16,238.43,20150601,0,37,20091006,K
811019,228605133,531827347,541555953,344.89,252.48,19000101,0,33,20081120,K
102388,634257795,908763285,1088058723,151.91,132.46,19000101,0,19,20120608,L
155083,994359492,557874334,650769283,197.5,198.89,20180601,0,51,20060517,L
123633,721292057,571760009,307956465,108.16,111.26,19000101,0,25,20100903,L
244792,180093799,108213590,677305473,106.54,130.26,20170101,0,46,20090713,L
659394,0,0,0,20.6,145,19000101,0,46,20140128,Z
